DIST	P1590_PCD_10012022.0	P1990_PCD_24032022.0	P1990_PCD_28042023.0	P1990_PCD_15032024.0
P1590_PCD_10012022.0	0	32627	32655	32683
P1990_PCD_24032022.0	1119	0	294	257
P1990_PCD_28042023.0	1169	120	0	158
P1990_PCD_15032024.0	1071	186	112	0
